Values,Telencephalon,Tectum,Thalamus,Hypothalamus,Cerebellum,Hindbrain,Habenula,Posterior-Tuberculum
Volume (voxels),321640,776026,84614,537171,225755,615310,47546,55145
,,,,,,,,
Frame,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8
1,1,2,3,4,5,6,7,8
nrros_exp3_hom_9_8,-30.281795501708984, 20.12277603149414, -26.912830352783203, -41.94258117675781, -41.20233154296875, -22.59738540649414, -45.168617248535156, -46.47029113769531
nrros_exp3_wt_13_8,-65.54985046386719, -13.540908813476562, -2.357889175415039, -60.64603805541992, -68.86791229248047, -50.22993469238281, -82.37285614013672, -52.743648529052734
nrros_exp3_wt_14_8,-61.321197509765625, 13.644401550292969, -52.39358139038086, -51.595741271972656, -43.75067138671875, -22.243976593017578, -40.36723327636719, -37.2545280456543
nrros_exp3_wt_15_8,-65.07064056396484, -16.472583770751953, -33.501708984375, -61.245243072509766, -73.1298828125, -43.62334060668945, -96.85945892333984, -25.524656295776367
nrros_exp3_wt_16_8,-47.03949737548828, 30.845691680908203, -23.0302677154541, -58.90163803100586, -41.59282684326172, -21.836441040039062, -47.07254409790039, -41.56298065185547
nrros_exp3_wt_1_8,-17.206552505493164, 26.49675941467285, -7.975067138671875, -39.549076080322266, -11.766331672668457, -20.670547485351562, -27.59538459777832, -33.43560028076172
nrros_exp3_wt_3_8,28.47441291809082, 73.15505981445312, -11.227225303649902, -19.736351013183594, 16.091224670410156, -10.007122993469238, 59.681034088134766, -35.19390106201172
nrros_exp3_wt_4_8,-1.6481447219848633, 31.4665470123291, -39.22393798828125, -30.051116943359375, -11.63834285736084, -23.51955795288086, 35.059993743896484, -45.93313980102539
nrros_exp3_wt_5_8,-42.87875747680664, 7.033208847045898, -18.547809600830078, -53.905879974365234, -53.43873596191406, -34.18595504760742, -93.14390563964844, -23.318017959594727
nrros_exp3_wt_6_8,-63.29633712768555, 2.8986895084381104, -62.50680923461914, -63.92161178588867, -55.40013885498047, -38.72824478149414, -52.342041015625, -51.315433502197266
nrros_exp3_wt_9_8,-41.90891647338867, 34.07276916503906, -20.761089324951172, -39.004146575927734, -31.286771774291992, -6.9645586013793945, -38.640628814697266, -0.8476852178573608
